en,fr
Biodiversity,Biodiversité
Learn more,En savoir plus
Compare,Comparez
SUS Preview,Aperçu du SUS
Home,Accueil
Climate change risk,Vulnérabilité aux changements climatiques
Climate change,Changements climatiques
Covid-19,Covid-19
Transport,Transport
Ecology,Écologie
Urban life,La vie urbaine
Accessibility to urban opportunities,Accessibilité aux opportunités urbaines
Place explorer,Explorez un lieu
Why a dashboard? The science behind Sus,Pourquoi un tableau de bord? La science derrière Sus
"The CanALE dataset (developed by Prof. Nancy Ross and her team) captures four key elements related to active living environments: population density, points of interest, street grid, and proximity of transit service.","La base de données AVA-Can (développée par la professeure Nancy Ross et son équipe) saisit quatre éléments clés liés aux environnements de vie active: la densité de population, les points d'intérêt, la grille des rues et la proximité du service de transport en commun."
"<p>A safe and inviting pedestrian realm is not distributed equally across socio-demographic factors. The risks of pedestrian injuries and fatalities are higher in low-income and racialized communities where residents often rely on walking as a daily mode of transport but where the local environment is not necessarily inviting and safe.<p>In addition to evidence pointing towards large discrepancies in the provision of walkable urban space across income and racial lines, concern has been raised with regard to the possible gentrification and displacement impacts of improved pedestrian infrastructure. In other words, who can afford to live in walkable neighbourhoods?<br><p>Further resources:<ul><li><a href= ''>Thomas Herrmann, William Gleckner, Rania A. Wasfi, Benoît Thierry, Yan Kestens and Nancy A. Ross. 2019. 'A pan-Canadian measure of active living environments using open data. Statistics Canada Health Reports, 82-003-X.</a><li><a href = ''>Kevin Manaugh, Linnea Soli, Samuel Kohn, Robin Basalaev-Binder, Ty Tuff, David Wachsmuth. 2020. 'Montreal’s response to COVID-19: An equity analysis of new active transport infrastructure.' Transportation Research Board working paper.</a> <b>(MSSI research)</b></ul><br><p><i>Module lead authors: Robin Basalaev-Binder, David Wachsmuth</i>","<p>Une voie piétonne sécuritaire et accueillante n'est pas répartie de manière égale entre les facteurs sociodémographiques. Les risques de blessures et de décès de piétons sont plus élevés dans les communautés racialisées et à faible revenu, où les résidents comptent souvent sur la marche comme mode de transport quotidien, mais où l'environnement local n'est pas nécessairement accueillant et sécuritaire.<p>Outre les éléments indiquant de grandes disparités dans la provision d'un espace piétonnier urbain selon le revenu et le pourcentage de minorités visibles, des préoccupations ont été soulevées concernant les éventuels impacts de l'amélioration des infrastructures piétonnes sur la gentrification et le déplacement. En d'autres termes, qui peut se permettre de vivre dans des quartiers piétonniers?<br><p>Ressources supplémentaires:<ul><li><a href= ''>Thomas Herrmann, William Gleckner, Rania A. Wasfi, Benoît Thierry, Yan Kestens et Nancy A. Ross. 2019. Une mesure pancanadienne fondées sur les données ouvertes de l'accessibilité à la vie active dans les milieux de vie. Rapports sur la santé de Statistique Canada, 82-003-X.</a><li><a href = ''>Kevin Manaugh, Linnea Soli, Samuel Kohn, Robin Basalaev-Binder, Ty Tuff, David Wachsmuth. 2020. «Réponse de Montréal à COVID-19 : Une analyse de l'équité des nouvelles infrastructures de transport actif». Document de travail pour le Transportation Research Board.</a> <b>(MSSI research)</b></ul><br><p><i>Auteur(e)s principaux(ales) du module: Robin Basalaev-Binder, David Wachsmuth</i>"
